Name,Nicknames,Age,Born Date,Born Location,Born Country,Continent,Died Date,Died Location,Date Apprehended,Apprehended Age,Conviction,Criminal Penalty,Criminal Penalty Categories,Zodiac Sign
Glen Rogers,"The Cross Country Killer, The Casanova Killer",,1962-07-15,,,,,,1995-11-13,33,"Florida, First Degree Murder, Armed Robbery, Grand Theft Auto, California, First Degree Murder With Special Circumstances, Arson",death,Death Sentence,Cancer
Mary Elizabeth Wilson,Merry Widow of Windy Nook,73.0,1889-06-11,"Catchgate, Stanley, Durham, England",England,Europe,1962-12-05,"HMP Holloway, London, England",,,Capital Murder,"death, commuted to life imprisonment",Death Sentence,Gemini
Hadden Clark,"The Cross Dressing Cannibal, The Rockville Rocket",,1952-07-31,,,,,,1992-11-06,40,Murder Robbery,70 years in prison,Years Imprisonment,Leo
Gary M. Heidnik,Brother Bishop,55.0,1943-11-22,,,,1999-07-06,,1987-03-24,43,First Degree Murder Kidnapping Rape Aggravated Assault Involuntary Deviate Sexual Intercourse,"death(July 6, 1999)",Death Sentence,Sagittarius
Johann Otto Hoch,"The Bluebeard Murderer, C.A.Meyer, H. Ireck, Dr James, Jacob Huff, C.A.Calford, Jacob Hoch, Jacob Erdorff, Schmitt, Bartell, Henry F. Hartman, William Frederick Bessing, Martin Dotz, Adolf Hoch, Martin Dose, Albert Buschberg, John Healey, Carl Schmidt, Count Otto van Kurn, Dr G. L. Hart, John Jacob Leo Schmidt, Leo Preger, Joseph Hoch, Jacob Hock, Henry Bartells, John Joseph Adolf Hoch, Fred Doess",,,"Horrweiler, Grand Duchy of Hesse",Grand Duchy of Hesse,Europe,,,1905-01-01,,Murder,death,Death Sentence,
Carl Großmann,"Jack the Slaughterer, The Berlin Butcher",58.0,1863-12-13,"Neuruppin, Kingdom of Prussia",Kingdom of Prussia,Europe,1922-07-05,Weimar Republic,1921-08-21,57,"Assault, Child Molestation",15 years imprisonment,Years Imprisonment,Sagittarius
Bobby Jack Fowler,,66.0,1939-06-12,,,,2006-05-20,,1995-06-28,56,Rape Attempted Kidnapping Arson Attempted Rape Attempted Murder Discharging A Firearm Within City Limits,"16 years, 3 months with the possibility of parole",Years Imprisonment,Gemini
Leszek Pękalski,The Vampire of Bytów,,1966-02-12,"Osieki, Bytw, Poland",Poland,Europe,,,,,Count Murder,,,Aquarius
Daniel Conahan,The Hog Trail Killer,,1954-05-11,,,,,,1996-07-03,42,"First Degree Murder, Kidnapping",death,Death Sentence,Taurus
Tillie Klimek,,,,Poland,Poland,Europe,1936-11-20,,,,Murder,life imprisonment,Life Imprisonment,
Lyda Southard,"Lyda Anna Mae Trueblood, Flypaper Lyda, The Black Widow",65.0,1892-10-16,,,,1958-02-05,,1921-05-01,28,Second Degree Murder,10 years to life in prison,Life Imprisonment,Libra
John Norman Collins,"The Co-Ed Killer, The Michigan Murderer, The Ypsilanti Killer, The Ypsilanti Ripper",,1947-06-17,"Windsor, Ontario, Canada",Canada,North America,,,1969-07-30,22,First Degree Murder,life imprisonment,Life Imprisonment,Gemini
Velma Barfield,,52.0,1932-10-29,,,,1984-11-02,,1978-05-13,45,"First Degree Murder, Writing Bad Checks","death(November 2, 1984)",Death Sentence,Scorpio
Raymond Morris,"The A34 murders, Babes in the Ditch murders, The Half-Day murders",,,,,,,,1968-11-15,,,,,
Robert Anthony Buell,Bob Buell,62.0,1940-09-10,,,,2002-09-25,,1984-01-01,43,"Aggravated Murder, Kidnapping Rape Felonious Sexual Penetration Felonious Assault",deathsentence,Death Sentence,Virgo
Hensley Anthony Neville,"Michelle Lim, Lim Kwee Huang",,,Singapore,Singapore,Asia,,"Kallang Bahru, Singapore",,,,,,
Harold Shipman,"Dr. Death, The Angel of Death, The Good Doctor",57.0,1946-01-14,"Nottingham, Nottinghamshire, England",England,Europe,2004-01-13,"HM Prison Wakefield, West Yorkshire, England",1998-09-07,52,,life imprisonment (whole life tariff),Life Imprisonment,Capricorn
Niels Högel,,,1976-12-30,"Wilhelmshaven, Lower Saxony, West Germany",West Germany,Europe,,,,,Murder,life imprisonment,Life Imprisonment,Capricorn
Baba Anujka,"The Banat Witch, The Witch of Vladimirovac",,,Romania,Romania,Europe,,"Vladimirovac, Yugoslavia",1928-06-01,,Murder,15 years imprisonment with hard labour,Years Imprisonment,
Kermit Gosnell,,,1941-02-09,,,,,,2011-01-19,69,"Federal, Conspiracy To Distribute Controlled Substances U.S.C. § Distribution Of Controlled Substances U.S.C. § Maintaining A Place For The Illegal Distribution Of Controlled Substances U.S.C. § Pennsylvania, First Degree Murder Involuntary Manslaughter, Performing An Illegal Late-Term Abortion Violating The -Hour Informed Consent Law","Federal, 30 years imprisonmentPennsylvaniaThree consecutive life sentence(s) without the possibility of parole",Life Imprisonment,Aquarius
Louay Omar Mohammed Al-Taei,,,,TaeiIraq,TaeiIraq,Asia,,,2006-03-01,,,,,
Donald Harvey,Angel of Death,64.0,1952-04-15,,,,2017-03-30,,1987-04-06,34,,"28 consecutive life sentence(s) plus $270,000 in fines",Life Imprisonment,Aries
Jane Toppan,Jolly Jane,,,,,,,,1901-10-29,,,,,
Charles Cullen,,,1960-02-22,,,,,,2003-12-15,43,,18 consecutive life sentence(s),Life Imprisonment,Pisces
Stephan Letter,,,1978-09-17,Westphalia,Westphalia,Europe,,,2004-07-29,25,"Murder, Manslaughter",life imprisonment,Life Imprisonment,Virgo
Marcel Petiot,"Captain Valery, Docteur Satan",,,"Auxerre, Yonne, France",France,Europe,1946-05-25,"La Sant Prison, Paris, France",1944-10-31,,Murder,death,Death Sentence,
Arnfinn Nesset,,,1936-10-25,"Trndelag, Norway",Norway,Europe,,,,,Murder Attempted Murder,21 years imprisonment,Years Imprisonment,Scorpio
Roger Andermatt,The Death-Keeper of Lucerne,,,"Lucerne, Switzerland",Switzerland,Europe,,,,,Murder,life imprisonment,Life Imprisonment,
Linda Hazzard,"Linda Burfield Hazzard, Starvation Doctor",70.0,1867-12-18,,,,1938-06-24,,,,,,,Sagittarius
Maxim Petrov,Doctor Death,,1965-11-14,"Kolpino, Leningrad Oblast, RSFSR",RSFSR,Europe,,,2000-01-17,34,Murder,life imprisonment,Life Imprisonment,Scorpio
Joan Vila Dilmé,"The Caretaker of Olot, The Angel of Death",,1965-09-26,"Castellfollit de la Roca, Catalonia, Spain",Spain,,,,2010-10-18,45,Murder,127 years and a half imprisonment,Years Imprisonment,Libra
Vickie Dawn Jackson,,,1966-02-13,,,,,,2002-07-16,36,Capital Murder,life imprisonment,Life Imprisonment,Aquarius
Ludivine Chambet,The Poisoner of Chambéry,,1983-05-10,France,France,Europe,,,,,Murder,25 years imprisonment + 10 years of involuntary commitment,Years Imprisonment,Taurus
Frederick Mors,Frederick Maurice Beno,,1889-10-02,"Vienna, Austria",Austria,Europe,,,1915-01-01,25,,Involuntary commitment,other,Libra
Elizabeth Wettlaufer,"Beth Parker, Betty Weston",,1967-06-10,"Zorra, Ontario, Canada",Canada,North America,,,2016-10-25,49,"Murder, Attempted Murder, Aggravated Assault",,,Gemini
Petr Zelenka,,,1976-02-27,Czech Republic,Czech Republic,Europe,,,,,"Murder, Attempted Murder",life imprisonment,Life Imprisonment,Pisces
Marianne Nölle,,,,"Cologne, Germany",Germany,Europe,,,1993-01-01,,,,,
Lucy Letby,,,1990-01-04,"Hereford, Herefordshire, England",England,Europe,,,2018-07-03,28,"Murder, Attempted Murder",life imprisonment(whole life order),Life Imprisonment,Capricorn
Orville Lynn Majors,,56.0,1961-04-24,,,,2017-09-24,,1997-01-01,35,Murder,360 years imprisonment,Years Imprisonment,Taurus
Efren Saldivar,,,1969-09-30,,,,,,1998-03-13,28,,Six consecutive life sentence(s) without the possibility of parole,Life Imprisonment,Libra
Christine Malèvre,,,1970-01-10,,,,,,1998-01-01,27,,,,Capricorn
Antoinette Scieri,,,,Italy,Italy,Europe,,,,,,,,
Ahmad Ahmadi,,,,"Mashhad, Iran",Iran,Asia,,"Toopkhaneh, Tehran, Iran",,,Murder,death,Death Sentence,
Kristen Gilbert,The Angel of Death,,1967-11-13,,,,,,,,First Degree Murder U.S.C. § Second Degree Murder U.S.C. § Assault With Intent To Commit Murder U.S.C. §,"Four consecutive life sentence(s) without parole, plus 20 years",Life Imprisonment,Scorpio
Frans Hooijmaijers,"Fat Frans, The Good Samaritan",70.0,1935-10-24,"Kerkrade, Netherlands",Netherlands,Europe,2006-08-20,Netherlands,1975-08-14,39,Murder,life imprisonment x2 (reduced to 18 years),Life Imprisonment,Scorpio
Miyuki Ishikawa,,90.0,1897-02-05,"Honj, Miyazaki Prefecture, Japan",Japan,Asia,1987-05-30,Japan,1948-01-15,50,,4 years in jail,Years Imprisonment,Aquarius
Amy Archer-Gilligan,Sister Theresa,,,,,,1962-04-23,,1917-01-01,,,"death, later sent to insane asylum",Death Sentence,
Sonya Caleffi,,,1970-07-21,"Como, Italy",Italy,Europe,,,2004-12-15,34,,20 years,Years Imprisonment,Cancer
Aino Nykopp-Koski,,,,,,,,,2009-03-01,,"Murders, Attempted Murders, Aggravated Assaults, Thefts, Drug Possessions",Lifetime,Life Imprisonment,
Kimberly Clark Saenz,,,1973-11-03,,,,,,2008-01-01,34,Capital Murder Aggravated Assault,Life plus 60 years,Life Imprisonment,Scorpio
Michael Swango,"David J. Adams, Jack Kirk, Michael Kirk, Michael Swan",,1954-10-21,,,,,,1997-06-01,42,"New York, First Degree Murder Ohio, Aggravated Murder",New YorkLife without paroleOhio20 years to life,Life Imprisonment,Libra
Edson Izidoro Guimarães,The Nurse of Death,,,Brazil,Brazil,South America,,,1999-05-04,,Murder,76 years in prison,Years Imprisonment,
Richard Angelo,,,1962-08-29,,,,,,1987-11-15,25,"Second Degree Murder Second Degree Manslaughter, Criminally Negligent Homicide, Assault",50 years to life in prison,Life Imprisonment,Virgo
Colin Norris,,,1976-02-12,"Milton, Glasgow, Scotland",Scotland,Europe,,,2002-01-01,25,,,,Aquarius
Beverley Allitt,The Angel of Death,,1968-10-04,"Grantham, Lincolnshire, England",England,Europe,,,1991-01-01,22,,"13 life sentence(s), 4 counts of murder, 5 counts of attempted murder, 6 counts of GBH",Life Imprisonment,Libra
Abraao Jose Bueno,,,1976-11-30,Brazil,Brazil,South America,,,,,"Murder, Attempted Murder",110 years of imprisonment,Years Imprisonment,Sagittarius
Andrés Ulises Castillo Villarreal,"The Chihuahua Ripper, The Urban Development Ripper",,,"Chihuahua City, Chihuahua, Mexico",Mexico,North America,,,2016-01-06,,Murder,120 years imprisonment,Years Imprisonment,
Elfriede Blauensteiner,The Black Widow,72.0,1931-01-22,"Vienna, Austria",Austria,Europe,2003-11-16,,1996-01-01,64,,Life sentence,Life Imprisonment,Aquarius
Genene Jones,,,1950-07-13,,,,,,1982-11-21,32,,99 years with triple credit,Years Imprisonment,Cancer
Benjamin Geen,",Ben Allitt, (reference to Beverley Allitt)",,,"England, United Kingdom",United Kingdom,Europe,,,2004-02-09,,"Murder, Of Grievous Bodily Harm",life imprisonment with a minimum tariff of 30 years,Life Imprisonment,
Marie Fikáčková,,24.0,1936-09-09,"Suice, Czechoslovakia",Czechoslovakia,Europe,1961-04-13,"Pankrc Prison, Prague, Czechoslovakia",,,Murder,death,Death Sentence,Virgo
Victorino Chua,,,,,,,,,,,,life imprisonment,Life Imprisonment,
Christopher Duntsch,,,1971-04-03,,,,,,,,"February,",,,Aries
Felícitas Sánchez Aguillón,"The Ogress of Colonia Roma, The Female Ripper of Colonia Roma, The Human Crusher of Little Angels",,,"Cerro Azul, Veracruz, Mexico",Mexico,North America,1941-06-16,,1941-04-11,,,Died before being convicted,Suicide or Died Before Sentence,
Robert George Clements,,,,"Belfast, Ireland",Ireland,Europe,,"Southport, England",,,,,,
Abboud And Khajawa,,,,centuryOttoman Empire,centuryOttoman Empire,Asia,,"Mosul, Ottoman Empire",1917-01-01,,"Murder, Cannibalism",death,Death Sentence,
David Avendaño Ballina,The Hamburger,,,Mexico,Mexico,North America,,,2008-02-12,,,,,
Hassan Orangi,The Singing Killer,,,"Esmailabad, Razavi Khorasan Province, Iran",Iran,Asia,,"Mashhad, Razavi Khorasan Province, Iran",1951-04-07,,Murder,death,Death Sentence,
Angel Makers Of Nagyrév,,,,,,,,,1929-01-01,,,,,
Long Zhimin,,,,"UnknownShang County, Shaanxi, China",China,Asia,,"Shang County, Shaanxi, China",1985-05-28,,Murder,death,Death Sentence,
Dean Corll,"The Cy Man, The Pied Piper",33.0,1939-12-24,,,,1973-08-08,,,,Unattributable Due To Death,,,Capricorn
Adolfo Constanzo,"The Godfather of Matamoros (El Padrino de Matamoros), The Witch Doctor",26.0,1962-11-01,,,,1989-05-06,"Mexico City, Mexico",,,,,,Scorpio
Viktor Sayenko And Igor Suprunyuk,,,1988-03-01,"Dnipropetrovsk, Ukrainian SSR, Soviet Union",Soviet Union,Europe,,,2007-07-23,19,"Premeditated Murder And Animal Cruelty Sayenko And Suprunyuk And Robbery Hanzha, Sayenko And Suprunyuk","life imprisonment for Sayenko and Suprunyuk, nine years imprisonment for Hanzha",Life Imprisonment,Pisces
Marcelo De Jesus Silva,,,,Rio de Janeiro,Rio de Janeiro,South America,2010-12-03,"Lagoa da Paixo, Fazenda Coutos, Bahia, Brazil",,,"Murder, Robbery, Drug Trafficking, Death Squad",,,
Wang Zongfang And Wang Zongwei,,,,"Shenyang, Liaoning, China",China,Asia,,"Guangchang, Jiangxi, China",,,,,,
Anísio Ferreira De Sousa,,,,Brazil,Brazil,South America,,,,,Murder,77 years in prison,Years Imprisonment,
Ripper Crew,"The Chicago Rippers, The Ripper Crew",45.0,1953-11-30,,,,1999-03-17,,1982-11-12,28,Everyone Ecept Gecht Was Convicted Of At Least One Count Murder,"Robin Gecht, 120 years imprisonmentAndrew KokoraleisdeathThomas Kokoraleis, life imprisonment without the possibility of parole, commuted to 70 yearsEdward Spreitzerdeath, commuted to life imprisonment without the possibility of parole",Death Sentence,Sagittarius
John Allen Muhammad,"The Beltway Sniper, The D.C. Sniper",48.0,1960-12-31,,,,2009-11-10,,2002-10-24,41,Capital Murder,death,Death Sentence,Capricorn
Death Angels,,,,,,,,,1974-01-01,,First-Degree Murder And Conspiracy To Commit First-Degree Murder,life imprisonment,Life Imprisonment,
Vladyslav Volkovich And Volodymyr Kondratenko,The Nighttime Killers,,,"Kyiv, Ukrainian SSR, Soviet Union",Soviet Union,Europe,,,1996-01-01,,,"Volkovich:, life imprisonment",Life Imprisonment,
José Miculax Bux And Mariano Macú Miculax,The Monster of Guatemala,,,"Patzica, Guatemala",Guatemala,North America,,Guatemala,1946-04-26,,Murder,death,Death Sentence,
Fred West,,53.0,1941-09-29,"Much Marcle, Herefordshire, England",England,Europe,1995-01-01,"HM Prison Birmingham, Birmingham, England",1994-02-01,52,"Earlier Convictions For:, Actual Bodily Harm, Child Molestation, Deception, Indecent Assault, Possession Of Stolen Goods, Theft, Unpaid Fines",Died by suicide prior to murder conviction,Suicide or Died Before Sentence,Libra
Briley Brothers,,30.0,1954-03-26,,,,1984-10-12,,,,"Linwood, Capital Murder, First Degree Murder Robbery, Rape, Use Of A Firearm In The Commission Of A Felony, James, Capital Murder First Degree Murder, Robbery, Rape, Use Of A Firearm In The Commission Of A Felony, Anthony, First Degree Murder Robbery, Use Of A Firearm In The Commission Of A Felony","Linwood and Jamesdeathby electrocutionAnthony, life imprisonment",Death Sentence,Aries
"John Justin Bunting, Robert Joe Wagner And James Spyridon Vlassakis",,,,,,,,,1999-05-21,,,,,
Leonard Lake,"Leonard Hill, Leonard Blake, Alan Drey, Tom Meyers, Jim Bright, Ted White, Steve, Charles Gunnar, Donald Lake, Ry Jacobsen, Robin Stapley, Paul Cosner",39.0,1945-10-29,,,,1985-06-06,,1985-06-02,39,Previously Convicted Of Vehicle Theft To One Year Of Probation; Never Convicted For Murder,,,Scorpio
Bloody Benders,"John Bender Sr.Elvira Bender, Kate Bender, John Bender Jr.",,,,,,,,,,,,,
Shen Changyin And Shen Changping,,30.0,1976-01-26,China,China,Asia,2006-04-27,China,2004-08-01,28,Murder,death,Death Sentence,Aquarius
Polatbay Berdaliyev,,,,Uzbek SSR,Uzbek SSR,Asia,,,2012-05-01,,Murder,life imprisonment,Life Imprisonment,
Wolfgang Abel And Marco Furlan,Ludwig,65.0,1959-03-25,"Padua, Italy",Italy,Europe,2024-10-25,"Negrar di Valpolicella, Italy",1984-03-04,24,Murder,life imprisonment,Life Imprisonment,Aries
Juan Carlos Hernández And Patricia Martínez,,,,"Lzaro Crdenas, Michoacn, Mxico",Mxico,North America,,,2018-10-04,,,,,
Hillside Stranglers,,51.0,1951-05-22,,,,2002-09-21,,1979-01-12,27,Murder,"life imprisonment (without parole) (Buono), life imprisonment (Bianchi)",Life Imprisonment,Gemini
Gerald And Charlene Gallego,"The Love Slave Killers, The Sex Slave Killers",56.0,1946-07-17,,,,2002-07-18,,1980-11-17,34,Armed Robbery Gerald Lewd And Lascivious Acts With A Child Gerald Murder Both,death(Gerald),Death Sentence,Cancer
Viña Del Mar Psychopaths,,29.0,1955-08-22,"Via del Mar, Chile",Chile,,1985-01-29,"Quillota, Chile",1982-03-08,26,Murder,death,Death Sentence,Leo
Yevgeny Nagorny,,,1972-06-26,"Kharkiv Oblast, UkSSR",UkSSR,,,,,,Murder,life imprisonment,Life Imprisonment,Cancer
Song Jinghua,,,,"Inner Mongolia, China",China,Asia,2011-05-27,"Beijing, China",,,Murder,death,Death Sentence,
Tadeusz Grzesik,"Strawberry, Killer",,,s Republic,s Republic,,,,2007-01-01,,Murder,life imprisonment,Life Imprisonment,
The Hernández Brothers Sect,The High Priestess of Blood,,,"Tamaulipas, Mexico",Mexico,North America,,,,,,50 years in prison,Years Imprisonment,
Rudolfo Infante And Anna Villeda,,,,,,,,,1991-10-21,,Murder,40 in prison,other,
Dale Hausner And Samuel Dieteman,,40.0,1973-02-04,"Arizona, United States",United States,North America,2013-06-19,,2006-08-03,33,"First Degree Murder Attempted First Degree Murder Conspiracy To Commit First Degree Murder, Aggravated Assault Arson Of Occupied Structure Animal Cruelty Conspiracy To Commit Animal Cruelty Drive-By Shooting Unlawful Discharging Of A Firearm",death,Death Sentence,Aquarius
Futoshi Matsunaga,,,1961-04-28,"Kitakyushu, Fukuoka, Japan",Japan,Asia,,,2002-01-01,40,Murder Manslaughter,death,Death Sentence,Taurus
Christopher Worrell And James Miller,The Truro Murderers,,,,,,1977-02-19,,,,,,,
Fa Ziying And Lao Rongzhi,Fa Lao Qi(法老七)Ye Weimin (叶伟民),35.0,1964-10-01,"Jiujiang, Jiangxi, China",China,Asia,1999-12-28,"Feixi County, Hefei, Anhui, China",1999-07-23,34,"Murder, Kidnapping, Robbery",death,Death Sentence,Libra
Johannes Van Rooyen And Dumisani Makhubela,,,,,,,,,2005-06-07,,Murder Rape Other Crimes,445 years imprisonment,Years Imprisonment,
Auto Shankar,,41.0,1954-01-21,"Kangeyanallur, Vellore District, India",India,Asia,1995-04-27,"Salem Central Prison, Salem, Tamil Nadu, India",,,Murder,death,Death Sentence,Aquarius
Gert Van Rooyen,,,,South Africa,South Africa,Africa,,"Pretoria, South Africa",,,,,,
Kiss Brothers And Zsolt István Pető,,,,,,,,,2009-08-21,,Murder,"life imprisonment (Árpád Kiss, István Kiss, Zsolt Pető), 13 years imprisonment (István Csontos)",Life Imprisonment,
Hermann Duft And Hans Wilhelm Bassenauer,,,,"Darmstadt, Nazi Germany",Nazi Germany,,,"Aegina, Greece",,,"Murder Robbery, Attempted Murder",death,Death Sentence,
David Alan Gore And Fred Waterfield,"The Killing Cousins, The eyes of the devil",58.0,1953-08-21,,,,2012-04-12,,1983-07-26,29,First Degree Murder,death,Death Sentence,Leo
Artyom Alexandrovich Anoufriev And Nikita Vakhtangovich Lytkin,"Academy Maniacs, Irkutsk Molotochniki",,,"Irkutsk, Irkutsk Oblast, Russia",Russia,Europe,,,2011-04-05,,Murder,"life imprisonment (Anoufriev)24 years imprisonment, later changed to 20 years (Lytkin)",Life Imprisonment,
Ray And Faye Copeland,,,,,,,1993-10-19,,1989-10-17,,First Degree Murder,death,Death Sentence,
Ian Brady,The Moors Murderers,79.0,1938-01-02,,,,2017-05-15,,1965-10-07,27,Murder,life imprisonment (whole life tariff),Life Imprisonment,Capricorn
Lawrence Bittaker And Roy Norris,,79.0,1940-09-27,,,,2019-12-13,,1979-11-20,39,"First-Degree Murder, Kidnapping, Rape","death(de jure, 1981)",Death Sentence,Libra
James Gregory Marlow And Cynthia Coffman,,,1962-01-19,,,,,,1986-11-14,24,Murder,death,Death Sentence,Capricorn
Gwendolyn Graham And Catherine May Wood,The Lethal Lovers,,1963-08-06,,,,,,1988-12-01,25,,life imprisonment (Graham)20 to 40 years imprisonment (Wood),Life Imprisonment,Leo
Loren Herzog And Wesley Shermantine,,46.0,1965-12-08,,,,2012-01-16,,1999-03-17,33,"Murder , Overturned Voluntary Manslaughter, Accessory To Murder Furnishing Amphetamine","78 years (overturned) 14 years, paroled after 11 years",Years Imprisonment,Sagittarius
David And Catherine Birnie,,54.0,1951-02-16,,,,2005-10-07,"Casuarina Prison in Casuarina, Western Australia, Australia",1986-01-01,34,,Four terms of life imprisonment,Life Imprisonment,Aquarius
John Duffy And David Mulcahy,"The Railway Killers, The Railway Rapists",,,England,England,Europe,,,1986-11-07,,,life imprisonment (both Duffy and Mulcahy),Life Imprisonment,
Raymond Fernandez And Martha Beck,,36.0,1914-12-17,Territory of Hawaii,Territory of Hawaii,Oceania,1951-03-08,,,,First Degree Murder,death,Death Sentence,Sagittarius
Beasts Of Satan,Beasts of Satan,,,,,,,,2004-02-01,,,,,
James Paster And Stephen Mccoy,,44.0,1945-01-30,,,,1989-09-20,,,,Capital Murder,"death(September 22, 1983)",Death Sentence,Aquarius
Paul Bernardo,"The Scarborough Rapist, The Schoolgirl Killer, Paul Jason Teale",,1964-08-27,"Scarborough, Ontario, Canada",Canada,North America,,,1993-02-17,28,"First-Degree Murder , Kidnapping , Forcible Confinement , Aggravated Sexual Assault , Committing An Indignity To A Body, Various Related But Publicly Unnamed Charges","life imprisonment with a possibility of parole after 25 years, including a dangerous offender designation, in 1995",Life Imprisonment,Virgo
Michael Bear Carson And Suzan Carson,Michael Bear Carson,,1950-11-28,,,,,,1983-01-01,32,Murder,75 years to life,Life Imprisonment,Sagittarius
Joseph And Michael Kallinger,The Shoemaker,60.0,1935-12-11,,,,1996-03-26,,1975-01-17,39,"Arson, Child Abuse, Murder",life imprisonment,Life Imprisonment,Sagittarius
Silvia Merez Cult,The Human Sacrifices Sect of Nacozari,,,"Hermosillo, Sonora, Mexico",Mexico,North America,,,2012-03-01,,,life imprisonment,Life Imprisonment,
Raya And Sakina,,,,,,,,Egypt,,,Serial Killing,death,Death Sentence,
