Name,Killer Type,Country,Country Sorted,Continent,Start Year,End Year,Median Year,Years Active,Decade,Total Victims (Unproven + Proven),Unproven Possible Victims,Proven Victims,Notes
Yuri Ivanov,Male,Soviet Union,Soviet Union,Multiple continents,1974,1987,1980,13,1980s,16,0,16,"Known as the ""Ust-Kamenogorsk Maniac""; Kazakhstani rapist who killed girls and women who spoke negatively of men; executed 1987."
Robert Lee Yates,Male,United States,United States,North America,1975,1998,1986,23,1980s,16,0,16,"Killed sex workers in the ""Skid Row"" area of E. Sprague Avenue in Spokane, Washington. Sentenced to 408 years in prison and two death sentences."
Farid Baghlani,Male,Iran,Iran,Asia,2004,2008,2006,4,2000s,16,0,16,"Known as the ""Cyclist killer""; murdered 15 women and 1 boy. Executed by hanging on November 13, 2010."
Jimmy Maketta,Male,South Africa,South Africa,Africa,2005,2014,2009,9,2000s,16,0,16,Pleaded guilty to and convicted of 16 murders and 19 rapes committed over the nine-month period of April to December 2005.
Jack Mogale,Male,South Africa,South Africa,Africa,2008,2009,2008,1,2000s,16,0,16,"Raped and strangled women in the Donnybrook area. Convicted of 16 murders and 19 rapes, nine kidnappings, robbery and assault."
Donald Henry Gaskins,Male,United States,United States,North America,1953,1982,1967,29,1960s,100,85,15,"Known as ""The Meanest Man in America"", Gaskins was convicted of nine murders committed in South Carolina between 1973 and 1975. He was suspected of 31 murders. Two victims had been murdered while Gaskins had been incarcerated—one while Gaskins had been on death row. Later claimed on death row that he had murdered between 100 and 110 victims. Executed by electric chair in 1991."
Ravinder Kumar,Male,India,India,Asia,2008,2015,2011,7,2010s,30,15,15,Serial rapist who killed children of poor families.
Atlanta Ripper,Unidentified,United States,United States,North America,1911,1920,1915,9,1910s,21,6,15,"Unidentified serial killer(s) who killed at least 15 Atlanta women in 1911, possibly as many as 21 in total."
Ángel Maturino Reséndiz,Male,"United States, Mexico",Multiple Countries,North America,1986,1999,1992,13,1990s,18,3,15,"Known as the ""Railroad Killer"" because his killings were committed near the railroad tracks he used to traverse the country. He was charged with and/or confessed to 15 murders occurring from 1986 to 1999 in Texas, Florida, Illinois, Georgia, and Kentucky. He was also suspected in a 1997 California murder case and claimed two additional killings he refused to elaborate on. Executed by lethal injection in 2006."
Chester Turner,Male,United States,United States,North America,1987,1998,1992,11,1990s,15,0,15,Convicted of killing 15 people in Los Angeles in the 1980s and 1990s. Sentenced to death.
Alexander Labutkin,Male,Soviet Union,Soviet Union,Multiple continents,1933,1935,1934,2,1930s,15,0,15,"Known as the ""One-Armed Bandit""; killed people in the forest near the Prigorodny settlement using a revolver; executed 1935."
Florencio Fernández,Male,Argentina,Argentina,South America,1950,,,,<NA>s,15,0,15,"Stalked his victims, then would beat and bite them while they were asleep. Died from natural causes a few years after his 1960 arrest."
Elifasi Msomi,Male,South Africa,South Africa,Africa,1953,1956,1954,3,1950s,15,0,15,Killed his victims with an axe or a knife in the 1950s; executed by hanging in 1956.
Abdullah Aksoy,Male,Turkey,Turkey,Asia,1962,1967,1964,5,1960s,15,0,15,"Known as ""The Monster of Çumra""; killed fifteen men in Çumra from 1962 to 1967 after having sexual intercourse with them, then buried their bodies in his home; committed suicide in prison before being tried."
Maurizio Minghella,Male,Italy,Italy,Europe,1978,2001,1989,23,1980s,15,0,15,"Killed five sex workers; imprisoned and released, after which he killed 10 more; sentenced to life imprisonment."
Bai Baoshan,Male,China,China,Asia,1983,1997,1990,14,1990s,15,0,15,Robber who killed 15 people while robbing several police stations; executed by gunshot in 1998.
Lee Choon-jae,Male,South Korea,South Korea,Asia,1986,1994,1990,8,1990s,15,0,15,"Also known as the Hwaseong serial murders. Most of the victims were bound, gagged, and strangled to death with their own clothes. It sparked the largest criminal case in South Korea with two million officers mobilized and over 21,000 suspects investigated. A suspect was identified in 2019, but he could not be prosecuted due to the statute of limitations. He later confessed to killing 15 people, in addition to the murder of his sister-in-law."
Carl Eugene Watts,Male,United States,United States,North America,1974,1982,1978,8,1970s,100,86,14,"Believed to have killed over 80 women in multiple states, in 1982 Watts accepted a plea bargain in Texas in which he would plead guilty to a lesser charge and be granted immunity from murder charges in exchange for providing information on his victims; as a result he confessed to 12 murders and was sentenced to 60 years in prison on the lesser charge. He was sentenced to life imprisonment in separate trials in Michigan in 2004 and 2007, and died of cancer a week after the 2007 sentence was handed down. Watts is now suspected to have killed more than 100 women, which would make him the most prolific serial killer in American history."
Belle Gunness,Female,United States,United States,North America,1884,1908,1896,24,1890s,40,26,14,"Norwegian-born murder-for-profit killer who murdered her suitors and relatives in Indiana. High possibility of committing over 40 murders. May have faked her own death in the fire that destroyed her home in 1908; her children had died of strychnine poisoning before the fire, and the woman's body found next to them was decapitated and, reportedly, smaller than Gunness' own. Ultimate fate unknown."
Philipp Tyurin,Male,Soviet Union,Soviet Union,Multiple continents,1945,1946,1945,1,1940s,29,15,14,"Known as the ""Leningrad Maniac"" and the ""Hellraiser""; murdered people for monetary reasons at his hut in Leningrad; executed 1947."
Zdzisław Marchwicki,Male,Poland,Poland,Europe,1964,1970,1967,6,1960s,21,7,14,"Also known as Vampire of Zagłębie. Killed 14 women in 1964–1970 in Poland's region of Dąbrowa Basin. Zdzisław Marchwicki was most likely the man responsible for the killings; however, his guilt remains in dispute. Executed in 1977."
Julio Pérez Silva,Male,Chile,Chile,South America,1998,2001,1999,3,1990s,19,5,14,Known as The Psychopath from Alto Hospicio; killed 14 women. Sentenced to life imprisonment in 2004.
Monster of Florence,Unidentified,Italy,Italy,Europe,1968,1985,1976,17,1970s,16,2,14,"Unidentified killer who shot couples in lovers lanes and mutilated the women, taking their sexual organs and in the last two cases, also their left breast. 69-year-old farmer Pietro Pacciani was controversially convicted of 14 crimes in 1994 and sentenced to life in prison, but he was released following allegations that the scant evidence had been planted in an attempt to close the case, which was by then the largest and most mediatic in Italy's criminal history. Pacciani was scheduled for retrial in 1998 when he died after taking medication contraindicated to his heart problems. Pacciani's two alleged accomplices, Mario Vanni and Giancarlo Lotti, were sentenced to life and 30 years in prison, respectively. Some believe that none of the accused were guilty, and that Lotti incriminated himself and the other two because he was homeless and wanted to live in prison."
Joachim Kroll,Male,West Germany,West Germany,Europe,1955,1976,1965,21,1960s,14,0,14,"Known as the ""Ruhr Cannibal"" and ""The Duisburg Man-Eater""; died from a heart attack in prison in 1991."
Arthur Shawcross,Male,United States,United States,North America,1972,1989,1980,17,1980s,14,0,14,"Committed arson and burglary, served two years of a five-year sentence. Within a year of his release, he raped and murdered two children in 1972. Under a plea bargain, he was sentenced to 25 years. Released after serving 14⁠1/2⁠ years, he began killing again a year later, targeting sex workers. Known as the ""Genesee River Killer"", ""Genesee River Strangler"", ""Rochester Strangler"", and ""Monster of the Rivers"", he strangled and battered his victims. Sentenced to life without parole. Died of cardiac arrest in 2008."
Naceur Damergi,Male,Tunisia,Tunisia,Africa,1980,1988,1984,8,1980s,14,0,14,Raped and killed minors in the Nabeul region; executed by hanging in 1990.
Muthukutty Chandran,Male,India,India,Asia,1985,1986,1985,1,1980s,14,0,14,"Committed 14 robbery-murders between 1985 and 1986 in Kerala, executed by hanging on 6 July 1991."
Marcelo Costa de Andrade,Male,Brazil,Brazil,South America,1991,2000,1995,9,1990s,14,0,14,Known as The Vampire of Niterói. Raped and killed 14 children in Rio de Janeiro and Niterói. Drank the blood of his victims. Found not guilty by reason of insanity.
Sergey Shipilov,Male,Russia,Russia,Europe,1995,1999,1997,4,1990s,14,0,14,"Known as the ""Velsk Chikatilo""; killed female hitchhikers in the town of Velsk, most of them while out on prison leave; sentenced to life imprisonment."
Dorángel Vargas,Male,Venezuela,Venezuela,South America,1997,1999,1998,2,1990s,14,0,14,"Homeless cannibal known as ""The People Eater"" (El Comegente) and ""The Hannibal Lecter of the Andes"". Murdered a homeless man and was institutionalized. After escaping the institution, he went on to kill ten other men and was arrested. In 2016, he and several other inmates killed three others and Vargas fed their remains to them."
Hua Ruizhuo,Male,China,China,Asia,1998,2001,1999,3,1990s,14,0,14,Was responsible for the murders of 14 sex workers in Beijing's Chaoyang District.
Denis Pischikov,Male,Russia,Russia,Europe,2002,2003,2002,1,2000s,14,0,14,"Known at the ""Shivering Creature""; robbed and killed elderly people around the Moscow Oblast and Vladimir Oblast; sentenced to life imprisonment."
Abdufatto Zamanov,Male,Russia,Russia,Europe,2002,2004,2003,2,2000s,14,0,14,Killed people out of personal hostility; also raped two young girls; sentenced to life imprisonment.
Jeong Nam-gyu,Male,South Korea,South Korea,Asia,2004,2006,2005,2,2000s,14,0,14,"Kidnapped, raped and murdered people; killed himself."
Amir Qayyum,Male,Pakistan,Pakistan,Asia,2005,2014,2009,9,2000s,14,0,14,"Known as ""The brick killer"". Killed 14 homeless men with rocks or bricks when they were asleep. Sentenced to death in May 2006."
Denis Kazungu,Male,Rwanda,Rwanda,Africa,2023,2032,2027,9,2020s,14,0,14,"Murdered 14 people at his home in Kigali, arrested and pleaded guilty in September 2023."
Jake Bird,Male,United States,United States,North America,1930,1947,1938,17,1930s,46,33,13,Sentenced to death for the murders of two people; confessed to 44 other murders; 11 were substantiated and he was suspected in the others. Executed by hanging in 1949.
Cleveland Torso Murderer,Unidentified,United States,United States,North America,1934,1938,1936,4,1930s,40,27,13,"Unidentified serial killer, also known as ""The Mad Butcher of Kingsbury Run"", who targeted drifters and derelicts, of whom only two were identified, between 1934 and 1938 in Cleveland, Ohio."
Kaspars Petrovs,Male,Latvia,Latvia,Europe,2003,2012,2007,9,2000s,38,25,13,"Confessed to strangling 38 elderly residents of Riga, Latvia, in 2003. Convicted and sentenced to life imprisonment for the robbery and murder of 13."
Peter Sutcliffe,Male,United Kingdom,United Kingdom,Europe,1975,1980,1977,5,1970s,33,20,13,"Killed at least 13 women between 30 October 1975 and 17 November 1980. Most victims were killed by a combination of bludgeoning and stabbing, and all but two were killed in the county of Yorkshire. Owing to the modus operandi and location of the murders, Sutcliffe became known as the ""Yorkshire Ripper."" Sentenced to 20 concurrent life sentences. After three years he was sent to a secure psychiatric facility, where he served 25 years before being found ""fit to leave"" in 2009. Government officials and courts ruled in 2010 that he would never be released. In 2015, he was declared ""no longer mentally ill"", and transferred to a maximum security prison. After his 1981 conviction police investigated 60 unsolved murders and attempted murders across Britain they thought Sutcliffe could be responsible for, but were able to eliminate him from 40. He has since also been linked by several investigators to the murder of Carol Wilkinson, for which an innocent man spent many years in prison. Sutcliffe died in hospital on 13 November 2020 at age 74, after being diagnosed with COVID-19."
